AIC_GTR	AIC_MF	AIC_MG	Chi2_LRT_MF_MG	LRT_MF_MG	LnL_GTR	LnL_MF	LnL_MG	NbrSites	NbrTaxa	at_over_gc	at_over_gc_1	at_over_gc_2	at_over_gc_3	df_GTR	df_MF	df_MG	diversity_aa	lambda_GTR	lambda_MF	lambda_MG	lambda_obs_GTR	lambda_obs_MF	lambda_obs_MG	name	site_diversity_aa	w_MF	w_MG	w_SS_MF	w_SW_MF	w_WS_MF	w_WW_MF	weight_MF	weight_MG	Î”_AIC
51585.9	173775.5	174866.5	2.9e$^{-207}$	1277.0	-25783.9	-86784.7	-87423.2	5300	61	 1.075	 0.996	 1.426	 0.878	9	103	10	  14.2	 0.821	 1.022	 1.139	 0.781	 1.101	 1.074	Primates	 1.280	 0.272	 0.272	 0.236	 0.308	 0.254	 0.277	 1.000	1.3e$^{-237}$	1091.0
1189.9	7593.9	7631.5	9.2e$^{-13}$	 223.6	-585.9	-3693.9	-3805.7	263	85	 0.792	 0.583	 1.177	 0.714	9	103	10	  16.7	 0.719	 0.690	 0.853	 0.687	 0.831	 0.808	lactamase	 1.365	 0.336	 0.332	 0.290	 0.412	 0.297	 0.346	 1.000	6.8e$^{-9}$	  37.6
17507.9	50621.9	50993.5	2.2e$^{-67}$	 557.6	-8744.9	-25207.9	-25486.7	5300	7	 1.098	 1.008	 1.439	 0.916	9	103	10	  17.3	 0.910	 0.995	 1.162	 0.867	 1.098	 1.095	Hominoidea	 1.055	 0.380	 0.367	 0.456	 0.410	 0.325	 0.464	 1.000	 2e$^{-81}$	 371.6
19040.8	104601.6	106128.5	3.9e$^{-296}$	1713.0	-9511.4	-52197.8	-53054.3	4877	22	 2.028	 1.303	 2.541	 2.648	9	103	10	  13.6	 2.364	 2.419	 2.073	 2.208	 1.937	 1.934	OrthoMamPrimatesHighAT	 1.315	 0.525	 0.526	 0.500	 0.487	 0.594	 0.459	 1.000	     0	1527.0
27832.5	79923.3	81779.7	     0	2042.4	-13907.2	-39858.6	-40879.8	4811	22	 0.321	 0.309	 0.595	 0.136	9	103	10	 6.130	 0.155	 0.178	 0.340	 0.152	 0.354	 0.329	OrthoMamPrimatesHighGC	 1.426	 0.119	 0.149	 0.237	 0.193	 0.071	 0.096	 1.000	     0	1856.4
20212.7	57175.6	57535.4	3.1e$^{-65}$	 545.8	-10097.3	-28484.8	-28757.7	5300	18	 1.096	 1.000	 1.440	 0.918	9	103	10	  16.8	 0.940	 1.024	 1.177	 0.895	 1.113	 1.109	Cercopithecoidea	 1.068	 0.318	 0.316	 0.253	 0.363	 0.292	 0.369	 1.000	7.5e$^{-79}$	 359.8
24777.3	73625.5	74113.4	6.6e$^{-89}$	 673.9	-12379.7	-36709.8	-37046.7	5300	15	 1.098	 1.009	 1.444	 0.913	9	103	10	  15.8	 0.926	 1.057	 1.187	 0.881	 1.127	 1.119	Platyrrhini	 1.139	 0.343	 0.333	 0.373	 0.362	 0.302	 0.447	 1.000	1.1e$^{-106}$	 487.9
9686.7	19659.9	19825.1	1.2e$^{-31}$	 351.2	-4834.4	-9726.9	-9902.5	498	180	 1.154	 1.057	 1.221	 1.192	9	103	10	  17.7	 1.455	 1.748	 1.447	 1.365	 1.245	 1.354	np	 1.096	 0.116	 0.114	 1.003	 0.092	 0.141	 0.101	 1.000	1.3e$^{-36}$	 165.2
33138.9	101923.8	102510.0	1.4e$^{-107}$	 772.2	-16560.5	-50858.9	-51245.0	5300	40	 1.097	 1.005	 1.441	 0.916	9	103	10	  16.5	 0.950	 1.108	 1.205	 0.903	 1.145	 1.135	Simiiformes	 1.141	 0.332	 0.325	 0.344	 0.347	 0.303	 0.414	 1.000	5.1e$^{-128}$	 586.2
23617.4	67175.3	67578.8	3.3e$^{-73}$	 589.5	-11799.7	-33484.7	-33779.4	5300	25	 1.097	 1.002	 1.440	 0.918	9	103	10	  17.0	 0.932	 1.038	 1.178	 0.887	 1.116	 1.110	Catarrhini	 1.082	 0.334	 0.328	 0.325	 0.369	 0.303	 0.365	 1.000	2.4e$^{-88}$	 403.5
